listing_id,total_reviews,vibe_tags
17496192,604,Cozy & Homey | Prime Location | Fully Equipped | Exceptional Host | Spotless & Pristine
17976543,117,Prime Location | Fully Equipped | Spacious & Bright | Exceptional Host | Responsive & Clear
18474693,296,Cozy & Homey | Exceptional Host | Prime Location | Fully Equipped | Highly Walkable
18747680,16,Exceptional Host | Cozy & Homey | Responsive & Clear | Historic Charm | Outdoor Oasis
19545359,39,Cozy & Homey | Exceptional Host | Spacious & Bright | Prime Location | Historic Charm
19550914,43,Historic Charm | Outdoor Oasis | Exceptional Host | Cozy & Homey | Responsive & Clear
19709913,43,Cozy & Homey | Exceptional Host | Prime Location | Highly Walkable | Fully Equipped
19729241,122,Cozy & Homey | Exceptional Host | Highly Walkable | Fully Equipped | Spotless & Pristine
20138634,161,Prime Location | Above & Beyond | Cozy & Homey | Highly Walkable | Spotless & Pristine
20212761,3,Cozy & Homey | Responsive & Clear | Highly Walkable | Prime Location
20761088,101,Fully Equipped | Prime Location | Cozy & Homey | Spacious & Bright | Exceptional Host
20965960,143,Cozy & Homey | Prime Location | Fully Equipped | Exceptional Host | Highly Walkable
21376207,161,Cozy & Homey | Highly Walkable | Exceptional Host | Spacious & Bright | Prime Location
21556659,85,Exceptional Host | Cozy & Homey | Prime Location | Highly Walkable | Value for Money
21799480,310,Prime Location | Cozy & Homey | Highly Walkable | Historic Charm | Fully Equipped
22334766,113,Exceptional Host | Cozy & Homey | Highly Walkable | Spotless & Pristine | Fully Equipped
23092653,4,Prime Location | Fully Equipped | Cozy & Homey | Spotless & Pristine
23092885,2,Modern & Updated | Responsive & Clear | Highly Walkable | Safe & Quiet | Spacious & Bright
23398807,6,Prime Location | Modern & Updated | Above & Beyond | Exceptional Host | Fully Equipped
23526708,15,Exceptional Host | Fully Equipped | Highly Walkable | Responsive & Clear | Cozy & Homey
23576655,121,Cozy & Homey | Prime Location | Exceptional Host | Fully Equipped | Responsive & Clear
24156862,28,Prime Location | Highly Walkable | Cozy & Homey | Responsive & Clear | Fully Equipped
24185610,62,Cozy & Homey | Modern & Updated | Fully Equipped | Exceptional Host | Spotless & Pristine
24454463,90,Cozy & Homey | Exceptional Host | Fully Equipped | Prime Location | Historic Charm
24519787,465,Cozy & Homey | Prime Location | Spotless & Pristine | Exceptional Host | Responsive & Clear
24780348,260,Cozy & Homey | Prime Location | Spacious & Bright | Spotless & Pristine | Artistic & Curated
25135201,4,Cozy & Homey | Responsive & Clear | Spotless & Pristine | Above & Beyond
25808418,205,Cozy & Homey | Exceptional Host | Prime Location | Spotless & Pristine | Fully Equipped
26084729,273,Cozy & Homey | Exceptional Host | Prime Location | Fully Equipped | Highly Walkable
26319307,206,Cozy & Homey | Historic Charm | Prime Location | Fully Equipped | Responsive & Clear
26413565,22,Prime Location | Fully Equipped | Cozy & Homey | Modern & Updated | Exceptional Host
26660129,3,Exceptional Host | Cozy & Homey
26685704,21,Prime Location | Fully Equipped | Spotless & Pristine | Cozy & Homey | Highly Walkable
26812545,19,Spacious & Bright | Fully Equipped | Responsive & Clear | Modern & Updated | Prime Location
27388869,9,Exceptional Host | Spacious & Bright | Highly Walkable | Safe & Quiet | Fully Equipped
27567630,182,Cozy & Homey | Prime Location | Highly Walkable | Historic Charm | Fully Equipped
27581061,169,Cozy & Homey | Exceptional Host | Outdoor Oasis | Responsive & Clear | Prime Location
27755983,78,Cozy & Homey | Exceptional Host | Above & Beyond | Highly Walkable | Fully Equipped
27756174,3,Responsive & Clear | Spotless & Pristine | Prime Location
27929828,118,Cozy & Homey | Spacious & Bright | Fully Equipped | Exceptional Host | Prime Location
28076757,20,Exceptional Host | Cozy & Homey | Above & Beyond | Historic Charm | Spacious & Bright
28179904,681,Cozy & Homey | Fully Equipped | Highly Walkable | Spotless & Pristine | Prime Location
28538990,50,Cozy & Homey | Outdoor Oasis | Fully Equipped | Prime Location | Exceptional Host
28541505,96,Prime Location | Cozy & Homey | Historic Charm | Spacious & Bright | Fully Equipped
28565907,84,Cozy & Homey | Prime Location | Exceptional Host | Responsive & Clear | Fully Equipped
28578397,439,Cozy & Homey | Prime Location | Fully Equipped | Exceptional Host | Highly Walkable
29075772,76,Cozy & Homey | Prime Location | Fully Equipped | Highly Walkable | Exceptional Host
29708205,253,Prime Location | Cozy & Homey | Exceptional Host | Fully Equipped | Responsive & Clear
30129023,452,Cozy & Homey | Highly Walkable | Prime Location | Fully Equipped | Spotless & Pristine
30553474,203,Cozy & Homey | Prime Location | Highly Walkable | Fully Equipped | Responsive & Clear
30858316,124,Cozy & Homey | Prime Location | Fully Equipped | Spotless & Pristine | Responsive & Clear
31022092,48,Cozy & Homey | Highly Walkable | Responsive & Clear | Prime Location | Fully Equipped
32359305,141,Prime Location | Cozy & Homey | Exceptional Host | Fully Equipped | Spacious & Bright
32595692,155,Cozy & Homey | Exceptional Host | Spotless & Pristine | Outdoor Oasis | Responsive & Clear
32696197,21,Fully Equipped | Historic Charm | Cozy & Homey | Highly Walkable | Spacious & Bright
32865110,124,Prime Location | Exceptional Host | Responsive & Clear | Cozy & Homey | Spotless & Pristine
33734664,128,Cozy & Homey | Fully Equipped | Prime Location | Exceptional Host | Responsive & Clear
34309444,3,Cozy & Homey | Exceptional Host | Historic Charm | Above & Beyond
34332860,70,Cozy & Homey | Artistic & Curated | Prime Location | Spotless & Pristine | Spacious & Bright
34446916,63,Exceptional Host | Cozy & Homey | Prime Location | Spotless & Pristine | Fully Equipped
34502134,2,General Stay
34538157,8,Exceptional Host | Responsive & Clear | Fully Equipped | Cozy & Homey | Spacious & Bright
34783374,188,Cozy & Homey | Highly Walkable | Prime Location | Spotless & Pristine | Fully Equipped
34909653,104,Cozy & Homey | Prime Location | Exceptional Host | Spacious & Bright | Fully Equipped
34979495,440,Cozy & Homey | Spacious & Bright | Spotless & Pristine | Responsive & Clear | Prime Location
35202237,1,Safe & Quiet | Transit Friendly | Above & Beyond
35381749,26,Prime Location | Exceptional Host | Value for Money | Climate Comfort | Pet Friendly
35413790,32,Prime Location | Exceptional Host | Cozy & Homey | Spotless & Pristine | Responsive & Clear
35463395,11,Cozy & Homey | Responsive & Clear | Spacious & Bright | Fully Equipped | Prime Location
35543616,9,Spacious & Bright | Prime Location | Highly Walkable | Fully Equipped | Cozy & Homey
35843542,36,Cozy & Homey | Exceptional Host | Prime Location | Responsive & Clear | Fully Equipped
36392564,100,Cozy & Homey | Spacious & Bright | Prime Location | Fully Equipped | Spotless & Pristine
36446406,136,Cozy & Homey | Responsive & Clear | Exceptional Host | Spotless & Pristine | Prime Location
36446537,26,Value for Money | Responsive & Clear | Highly Walkable | Historic Charm | Exceptional Host
36689889,12,Prime Location | Value for Money | Exceptional Host | Cozy & Homey
36723553,128,Cozy & Homey | Exceptional Host | Fully Equipped | Prime Location | Responsive & Clear
36799009,72,Cozy & Homey | Prime Location | Spacious & Bright | Exceptional Host | Responsive & Clear
37278360,36,Cozy & Homey | Prime Location | Exceptional Host | Responsive & Clear | Fully Equipped
37336702,390,Cozy & Homey | Prime Location | Fully Equipped | Spacious & Bright | Exceptional Host
37807346,72,Cozy & Homey | Highly Walkable | Fully Equipped | Prime Location | Spotless & Pristine
38389142,46,Prime Location | Cozy & Homey | Responsive & Clear | Spotless & Pristine | Exceptional Host
38571763,11,Cozy & Homey | Responsive & Clear | Prime Location | Spotless & Pristine | Highly Walkable
38823886,12,Exceptional Host | Cozy & Homey | Fully Equipped | Responsive & Clear | Highly Walkable
39020081,631,Cozy & Homey | Exceptional Host | Responsive & Clear | Prime Location | Fully Equipped
39127033,18,Prime Location | Outdoor Oasis | Fully Equipped | Cozy & Homey | Transit Friendly
39202542,200,Spacious & Bright | Cozy & Homey | Highly Walkable | Prime Location | Responsive & Clear
39606319,254,Cozy & Homey | Fully Equipped | Prime Location | Spotless & Pristine | Responsive & Clear
40233343,3,Prime Location | Outdoor Oasis | Modern & Updated
40291213,212,Cozy & Homey | Prime Location | Spotless & Pristine | Highly Walkable | Responsive & Clear
40620172,128,Cozy & Homey | Prime Location | Responsive & Clear | Exceptional Host | Fully Equipped
40637180,9,Fully Equipped | Cozy & Homey | Prime Location | Modern & Updated | Exceptional Host
40936061,32,Exceptional Host | Value for Money | Cozy & Homey | Climate Comfort | Fully Equipped
41264623,233,Prime Location | Cozy & Homey | Spacious & Bright | Responsive & Clear | Spotless & Pristine
41422819,46,Cozy & Homey | Exceptional Host | Prime Location | Highly Walkable | Spotless & Pristine
41564701,31,Spacious & Bright | Cozy & Homey | Exceptional Host | Responsive & Clear | Fully Equipped
42097167,32,Cozy & Homey | Prime Location | Exceptional Host | Fully Equipped | Highly Walkable
42157314,78,Cozy & Homey | Spotless & Pristine | Modern & Updated | Outdoor Oasis | Fully Equipped
42451917,3,Exceptional Host
42775398,2,Exceptional Host | Responsive & Clear
42999407,440,Cozy & Homey | Prime Location | Fully Equipped | Spotless & Pristine | Responsive & Clear
43051665,50,Cozy & Homey | Prime Location | Responsive & Clear | Highly Walkable | Exceptional Host
43087169,1,Exceptional Host
43115699,28,Prime Location | Fully Equipped | Cozy & Homey | Spacious & Bright | Exceptional Host
43158104,19,Responsive & Clear | Spotless & Pristine | Prime Location | Exceptional Host | Cozy & Homey
43306646,128,Cozy & Homey | Fully Equipped | Prime Location | Exceptional Host | Responsive & Clear
43575684,2,General Stay
43741632,42,Cozy & Homey | Prime Location | Exceptional Host | Responsive & Clear | Highly Walkable
43792332,29,Prime Location | Climate Comfort | Responsive & Clear | Fully Equipped | Cozy & Homey
43909004,3,Prime Location | Cozy & Homey | Responsive & Clear | Fully Equipped
43947327,10,Cozy & Homey | Exceptional Host | Fully Equipped | Spotless & Pristine | Prime Location
43969809,102,Cozy & Homey | Spotless & Pristine | Exceptional Host | Highly Walkable | Outdoor Oasis
44019190,42,Prime Location | Cozy & Homey | Fully Equipped | Historic Charm | Exceptional Host
44100363,12,Cozy & Homey | Prime Location | Exceptional Host | Highly Walkable
44316040,25,Cozy & Homey | Exceptional Host | Spacious & Bright | Fully Equipped | Responsive & Clear
44361368,292,Cozy & Homey | Prime Location | Spotless & Pristine | Exceptional Host | Fully Equipped
44361402,176,Cozy & Homey | Exceptional Host | Fully Equipped | Responsive & Clear | Prime Location
44376973,172,Cozy & Homey | Exceptional Host | Fully Equipped | Responsive & Clear | Prime Location
44579633,147,Historic Charm | Cozy & Homey | Highly Walkable | Prime Location | Exceptional Host
44684096,3,Highly Walkable | Prime Location | Historic Charm | Cozy & Homey | Exceptional Host
45052852,1,General Stay
45206266,15,Cozy & Homey | Exceptional Host | Historic Charm | Outdoor Oasis | Climate Comfort
45207718,8,Cozy & Homey | Prime Location | Exceptional Host | Responsive & Clear | Outdoor Oasis
45207849,52,Historic Charm | Cozy & Homey | Exceptional Host | Outdoor Oasis | Responsive & Clear
45216545,1,Prime Location
45420901,29,Cozy & Homey | Spacious & Bright | Fully Equipped | Responsive & Clear | Modern & Updated
45655886,237,Cozy & Homey | Prime Location | Fully Equipped | Exceptional Host | Modern & Updated
46104839,87,Prime Location | Fully Equipped | Exceptional Host | Safe & Quiet | Cozy & Homey
46273970,76,Cozy & Homey | Exceptional Host | Spotless & Pristine | Responsive & Clear | Prime Location
46314407,103,Highly Walkable | Cozy & Homey | Fully Equipped | Exceptional Host | Spacious & Bright
46371956,271,Cozy & Homey | Prime Location | Spotless & Pristine | Fully Equipped | Modern & Updated
46374421,464,Prime Location | Cozy & Homey | Spotless & Pristine | Fully Equipped | Modern & Updated
46490109,181,Cozy & Homey | Responsive & Clear | Spacious & Bright | Prime Location | Fully Equipped
46490712,137,Cozy & Homey | Prime Location | Spacious & Bright | Responsive & Clear | Highly Walkable
46637145,321,Prime Location | Cozy & Homey | Spotless & Pristine | Fully Equipped | Modern & Updated
46712066,187,Cozy & Homey | Fully Equipped | Spotless & Pristine | Exceptional Host | Responsive & Clear
46771787,148,Cozy & Homey | Prime Location | Responsive & Clear | Exceptional Host | Fully Equipped
47350542,250,Cozy & Homey | Prime Location | Spotless & Pristine | Fully Equipped | Responsive & Clear
47426620,153,Prime Location | Cozy & Homey | Responsive & Clear | Highly Walkable | Exceptional Host
47432363,170,Cozy & Homey | Spacious & Bright | Prime Location | Spotless & Pristine | Responsive & Clear
47746603,62,Outdoor Oasis | Cozy & Homey | Highly Walkable | Exceptional Host | Pet Friendly
47792889,1,Exceptional Host
47833785,106,Prime Location | Cozy & Homey | Responsive & Clear | Fully Equipped | Exceptional Host
47846381,250,Cozy & Homey | Fully Equipped | Prime Location | Spotless & Pristine | Exceptional Host
47857021,253,Cozy & Homey | Prime Location | Fully Equipped | Spotless & Pristine | Responsive & Clear
47952428,1,Fully Equipped
48009888,290,Cozy & Homey | Exceptional Host | Prime Location | Responsive & Clear | Highly Walkable
48064704,1,Modern & Updated | Exceptional Host | Responsive & Clear
48229920,121,Cozy & Homey | Prime Location | Spotless & Pristine | Fully Equipped | Modern & Updated
48401591,127,Prime Location | Spacious & Bright | Cozy & Homey | Fully Equipped | Spotless & Pristine
48469712,252,Cozy & Homey | Fully Equipped | Prime Location | Spotless & Pristine | Highly Walkable
49092365,174,Cozy & Homey | Spotless & Pristine | Responsive & Clear | Exceptional Host | Prime Location
49342072,35,Exceptional Host | Cozy & Homey | Prime Location | Spotless & Pristine | Fully Equipped
49631544,51,Exceptional Host | Cozy & Homey | Fully Equipped | Highly Walkable | Historic Charm
49735166,2,Prime Location | Fully Equipped
50054456,110,Responsive & Clear | Cozy & Homey | Exceptional Host | Spacious & Bright | Spotless & Pristine
50194879,284,Cozy & Homey | Fully Equipped | Prime Location | Highly Walkable | Responsive & Clear
50361582,178,Cozy & Homey | Prime Location | Fully Equipped | Spacious & Bright | Responsive & Clear
50409973,78,Cozy & Homey | Spotless & Pristine | Responsive & Clear | Exceptional Host | Prime Location
50497152,94,Cozy & Homey | Prime Location | Spotless & Pristine | Exceptional Host | Responsive & Clear
50504321,66,Prime Location | Cozy & Homey | Spacious & Bright | Fully Equipped | Highly Walkable
50562579,31,Prime Location | Spotless & Pristine | Fully Equipped | Spacious & Bright | Modern & Updated
50595917,213,Cozy & Homey | Exceptional Host | Fully Equipped | Responsive & Clear | Historic Charm
50873368,56,Cozy & Homey | Spacious & Bright | Responsive & Clear | Prime Location | Highly Walkable
51411999,110,Cozy & Homey | Prime Location | Responsive & Clear | Exceptional Host | Spotless & Pristine
51502999,207,Cozy & Homey | Spotless & Pristine | Responsive & Clear | Prime Location | Exceptional Host
51584379,56,Cozy & Homey | Spotless & Pristine | Responsive & Clear | Exceptional Host | Prime Location
51593238,127,Cozy & Homey | Highly Walkable | Prime Location | Fully Equipped | Responsive & Clear
51655958,164,Cozy & Homey | Spotless & Pristine | Exceptional Host | Prime Location | Responsive & Clear
51762105,230,Cozy & Homey | Prime Location | Fully Equipped | Spotless & Pristine | Responsive & Clear
51787040,75,Responsive & Clear | Prime Location | Exceptional Host | Cozy & Homey | Highly Walkable
51804660,8,Highly Walkable | Prime Location | Responsive & Clear | Fully Equipped | Above & Beyond
51819107,52,Cozy & Homey | Artistic & Curated | Fully Equipped | Prime Location | Responsive & Clear
51824978,57,Cozy & Homey | Exceptional Host | Prime Location | Fully Equipped | Responsive & Clear
51920623,11,Exceptional Host | Fully Equipped | Prime Location | Historic Charm | Cozy & Homey
51959058,167,Cozy & Homey | Prime Location | Responsive & Clear | Exceptional Host | Fully Equipped
52004408,14,Value for Money | Prime Location | Cozy & Homey | Responsive & Clear
52048336,150,Cozy & Homey | Spotless & Pristine | Prime Location | Fully Equipped | Responsive & Clear
52088183,73,Highly Walkable | Prime Location | Cozy & Homey | Fully Equipped | Spotless & Pristine
52173725,41,Cozy & Homey | Exceptional Host | Responsive & Clear | Highly Walkable | Fully Equipped
52278189,198,Cozy & Homey | Spotless & Pristine | Exceptional Host | Responsive & Clear | Prime Location
52531373,158,Cozy & Homey | Highly Walkable | Responsive & Clear | Fully Equipped | Prime Location
52766531,249,Cozy & Homey | Responsive & Clear | Fully Equipped | Prime Location | Highly Walkable
52837864,57,Cozy & Homey | Exceptional Host | Responsive & Clear | Spotless & Pristine | Prime Location
52904644,115,Cozy & Homey | Exceptional Host | Fully Equipped | Responsive & Clear | Above & Beyond
52986682,140,Cozy & Homey | Prime Location | Fully Equipped | Exceptional Host | Responsive & Clear
53115234,78,Cozy & Homey | Prime Location | Fully Equipped | Responsive & Clear | Exceptional Host
53150554,46,Cozy & Homey | Prime Location | Outdoor Oasis | Exceptional Host | Highly Walkable
53150899,80,Cozy & Homey | Fully Equipped | Responsive & Clear | Prime Location | Highly Walkable
53172066,26,Cozy & Homey | Fully Equipped | Prime Location | Responsive & Clear | Exceptional Host
53173859,37,Exceptional Host | Cozy & Homey | Fully Equipped | Responsive & Clear | Prime Location
53181906,35,Responsive & Clear | Exceptional Host | Prime Location | Cozy & Homey | Fully Equipped
53232503,20,Prime Location | Fully Equipped | Cozy & Homey | Spacious & Bright | Highly Walkable
53772864,183,Cozy & Homey | Responsive & Clear | Outdoor Oasis | Exceptional Host | Prime Location
53974050,8,Cozy & Homey | Spacious & Bright | Prime Location | Historic Charm | Spotless & Pristine
54212946,100,Cozy & Homey | Spotless & Pristine | Responsive & Clear | Exceptional Host | Fully Equipped
54279622,17,Cozy & Homey | Responsive & Clear | Exceptional Host | Value for Money | Highly Walkable
54325019,17,Exceptional Host | Prime Location | Spacious & Bright | Spotless & Pristine | Fully Equipped
54343966,57,Cozy & Homey | Responsive & Clear | Prime Location | Exceptional Host | Fully Equipped
5.17986E+17,85,Cozy & Homey | Highly Walkable | Prime Location | Exceptional Host | Fully Equipped
5.39097E+17,14,Exceptional Host | Outdoor Oasis | Fully Equipped | Cozy & Homey | Historic Charm
5.483E+17,29,Outdoor Oasis | Responsive & Clear | Fully Equipped | Cozy & Homey | Exceptional Host
5.50176E+17,116,Cozy & Homey | Prime Location | Highly Walkable | Responsive & Clear | Fully Equipped
5.55808E+17,295,Cozy & Homey | Exceptional Host | Responsive & Clear | Fully Equipped | Spotless & Pristine
5.56577E+17,45,Highly Walkable | Cozy & Homey | Responsive & Clear | Prime Location | Safe & Quiet
5.56942E+17,15,Historic Charm | Responsive & Clear | Spacious & Bright | Spotless & Pristine | Modern & Updated
5.57355E+17,17,Spotless & Pristine | Prime Location | Responsive & Clear | Exceptional Host | Fully Equipped
5.6606E+17,40,Cozy & Homey | Fully Equipped | Spacious & Bright | Historic Charm | Spotless & Pristine
5.7122E+17,131,Cozy & Homey | Responsive & Clear | Fully Equipped | Prime Location | Spotless & Pristine
5.71228E+17,103,Cozy & Homey | Responsive & Clear | Fully Equipped | Spotless & Pristine | Exceptional Host
5.73658E+17,39,Exceptional Host | Cozy & Homey | Responsive & Clear | Prime Location | Safe & Quiet
5.75995E+17,1,General Stay
5.77456E+17,68,Cozy & Homey | Responsive & Clear | Fully Equipped | Highly Walkable | Spotless & Pristine
5.86762E+17,112,Cozy & Homey | Responsive & Clear | Prime Location | Spotless & Pristine | Fully Equipped
5.87521E+17,221,Cozy & Homey | Highly Walkable | Fully Equipped | Prime Location | Responsive & Clear
5.87846E+17,61,Prime Location | Responsive & Clear | Cozy & Homey | Highly Walkable | Spotless & Pristine
5.9082E+17,31,Cozy & Homey | Exceptional Host | Responsive & Clear | Prime Location | Spotless & Pristine
6.02098E+17,56,Cozy & Homey | Exceptional Host | Fully Equipped | Highly Walkable | Prime Location
6.03801E+17,90,Cozy & Homey | Prime Location | Responsive & Clear | Highly Walkable | Exceptional Host
6.04427E+17,159,Cozy & Homey | Responsive & Clear | Prime Location | Exceptional Host | Spotless & Pristine
6.05576E+17,73,Cozy & Homey | Prime Location | Historic Charm | Spacious & Bright | Exceptional Host
6.08186E+17,52,Cozy & Homey | Prime Location | Fully Equipped | Highly Walkable | Spotless & Pristine
6.08652E+17,22,Cozy & Homey | Exceptional Host | Responsive & Clear | Fully Equipped | Prime Location
6.10848E+17,70,Cozy & Homey | Highly Walkable | Fully Equipped | Historic Charm | Responsive & Clear
6.13791E+17,17,Prime Location | Historic Charm | Spotless & Pristine | Cozy & Homey | Spacious & Bright
6.14218E+17,18,Responsive & Clear | Exceptional Host
6.14697E+17,17,Spacious & Bright | Highly Walkable | Cozy & Homey | Responsive & Clear
6.1498E+17,70,Prime Location | Spacious & Bright | Highly Walkable | Cozy & Homey | Responsive & Clear
6.18847E+17,11,Exceptional Host | Value for Money | Prime Location | Safe & Quiet | Spacious & Bright
6.20435E+17,17,Cozy & Homey | Spotless & Pristine | Fully Equipped | Responsive & Clear | Prime Location
6.20435E+17,70,Cozy & Homey | Prime Location | Responsive & Clear | Spacious & Bright | Fully Equipped
6.22537E+17,45,Spacious & Bright | Fully Equipped | Responsive & Clear | Prime Location | Exceptional Host
6.23167E+17,207,Cozy & Homey | Highly Walkable | Prime Location | Fully Equipped | Spotless & Pristine
6.25549E+17,86,Cozy & Homey | Prime Location | Responsive & Clear | Spotless & Pristine | Spacious & Bright
6.25571E+17,105,Spacious & Bright | Prime Location | Spotless & Pristine | Cozy & Homey | Responsive & Clear
6.33415E+17,12,Exceptional Host | Cozy & Homey | Highly Walkable | Prime Location | Safe & Quiet
6.36149E+17,171,Cozy & Homey | Exceptional Host | Fully Equipped | Responsive & Clear | Highly Walkable
6.36233E+17,97,Highly Walkable | Prime Location | Cozy & Homey | Responsive & Clear | Fully Equipped
6.3911E+17,69,Cozy & Homey | Fully Equipped | Prime Location | Responsive & Clear | Spotless & Pristine
6.41176E+17,98,Cozy & Homey | Exceptional Host | Responsive & Clear | Prime Location | Spotless & Pristine
6.45535E+17,6,Responsive & Clear | Prime Location | Cozy & Homey | Highly Walkable | Historic Charm
6.48086E+17,14,Prime Location | Responsive & Clear | Cozy & Homey | Spotless & Pristine | Exceptional Host
6.48603E+17,7,Exceptional Host | Responsive & Clear | Cozy & Homey | Prime Location
6.50896E+17,38,Prime Location | Cozy & Homey | Responsive & Clear | Fully Equipped | Highly Walkable
6.52236E+17,2,General Stay
6.52242E+17,3,Responsive & Clear | Highly Walkable | Prime Location | Cozy & Homey | Exceptional Host
6.58516E+17,10,Exceptional Host | Cozy & Homey | Prime Location | Spotless & Pristine | Value for Money
6.60855E+17,1,Highly Walkable
6.64373E+17,15,Cozy & Homey | Exceptional Host | Fully Equipped | Responsive & Clear | Spotless & Pristine
6.65708E+17,51,Cozy & Homey | Spacious & Bright | Prime Location | Outdoor Oasis | Highly Walkable
6.72395E+17,126,Cozy & Homey | Prime Location | Fully Equipped | Responsive & Clear | Highly Walkable
6.72409E+17,136,Cozy & Homey | Highly Walkable | Prime Location | Fully Equipped | Responsive & Clear
